1017.7 0.00 77.0 10.4 
1012.7 0.00 82.0 12.5 
1016.6 0.00 87.0 15.1 
1018.8 0.00 81.0 14.1 
1013.9 0.00 78.0 14.0 
1012.7 0.00 90.0 16.2 
1011.3 0.40 89.0 19.5 
1019.5 0.00 87.0 16.4 
1022.2 0.00 68.0 12.3
1022.1 0.00 85.0 10.6
1021.6 0.00 92.0 13.0
1025.8 0.00 85.0 11.8
1026.3 0.00 68.0 10.3
1024.2 0.00 72.0 8.2
1022.5 0.00 77.0 7.4
1022.0 0.00 84.0 9.4
1023.3 0.00 77.0 13.1
1026.3 0.00 75.0 11.6
1022.4 0.00 78.0 10.6  
1024.6 0.00 76.0 10.5  
1024.4 0.00 69.0 10.1  
1024.3 0.00 70.0 7.8   
1019.8 0.00 69.0 8.8   
1013.5 0.00 78.0 12.9  
1016.0 0.00 82.0 16.4  
1019.3 0.00 84.0 17.1  
1017.0 0.00 82.0 18.1  
1017.4 0.00 82.0 17.5  
1018.1 0.00 87.0 17.6  
1017.5 0.00 83.0 17.2  
1015.4 0.00 72.0 16.6  
1013.5 0.00 82.0 15.2  
1009.7 0.00 79.0 19.0  
1009.0 0.00 85.0 18.2  
1008.5 0.00 77.0 19.5  
1007.6 0.00 83.0 20.3  
1006.0 1.30 84.0 21.5  
1006.5 0.40 82.0 20.9  
1008.9 0.60 86.0 12.4  
1014.0 1.20 89.0 10.4  
1020.3 0.00 68.0 8.2   
1019.6 0.00 64.0 7.2   
1017.6 0.00 77.0 6.4   
1023.9 0.00 76.0 7.1   
1022.4 0.00 55.0 9.5   
1018.2 0.00 68.0 10.5  
1016.5 0.20 91.0 11.5  
1016.1 2.80 98.0 12.5  
1020.5 2.40 85.0 10.9  
1026.0 0.70 79.0 7.8   
1023.4 0.00 75.0 8.8   
1020.9 0.80 92.0 11.6  
1019.7 7.70 97.0 12.7  
1020.4 2.70 97.0 12.1  
1015.8 1.70 94.0 16.4  
1016.0 0.40 95.0 17.7  
1016.6 0.40 93.0 18.4  
1015.5 0.40 92.0 18.2  
1011.9 0.50 92.0 19.5  
1004.4 0.60 87.0 21.7  
1012.4 1.40 92.0 17.9  
1015.2 0.00 93.0 13.7  
1018.0 0.70 93.0 14.2  
1016.9 0.70 84.0 15.3  
1013.9 2.30 98.0 15.6  
1016.2 3.00 98.0 14.1  
1017.2 3.80 97.0 13.6  
1020.6 0.50 92.0 12.0  
1020.5 0.10 94.0 11.7  
1016.0 0.40 96.0 14.0  
1011.1 0.30 94.0 18.9  
1016.0 0.20 93.0 18.3  
1021.8 0.50 81.0 15.5  
1020.6 0.50 81.0 13.3  
1020.3 0.20 92.0 14.4  
1016.3 0.20 92.0 17.8  
1012.4 0.80 95.0 20.0  
1010.4 0.50 95.0 21.1  
1012.7 0.20 93.0 21.1  
